study_word,test,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
cushion,_a_e,"vase
","[0.01574074074074074, 0.01574074074074074, 0.01574074074074074, 0.010185185185185186, -0.041666666666666664]","[-0.03333333333333333, -0.03333333333333333, -0.03333333333333333, -0.03425925925925926, -0.30185185185185187]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[5.938665099994978, 6.472451300011016, 6.938412099989364, 7.47292010000092, 9.521237800014205]",['text_3'],198843,1,2023-09-29_11h35.07.198,word fragment _29-9-23,2023.1.3,60.04401227
vase,b_o_,book,[0.012037037037037037],[-0.32037037037037036],[1],[0],[0],[3.513776100007817],['text_3'],198843,1,2023-09-29_11h35.07.198,word fragment _29-9-23,2023.1.3,60.04401227
piano,_u_h_o_,cushion,[0.046296296296296294],[-0.3055555555555556],[1],[0],[0],[5.044289100012975],['text_3'],198843,1,2023-09-29_11h35.07.198,word fragment _29-9-23,2023.1.3,60.04401227
tiger,v_s_,vase,"[0.027777777777777776, 0.008333333333333333, -0.03518518518518519]","[-0.2712962962962963, -0.35462962962962963, -0.3138888888888889]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[2.4121225999842864, 3.011725899996236, 3.5430471999861766]",['text_3'],198843,1,2023-09-29_11h35.07.198,word fragment _29-9-23,2023.1.3,60.04401227
book,_i_e_,piano,[],[],[],[],[],[],[],198843,1,2023-09-29_11h35.07.198,word fragment _29-9-23,2023.1.3,60.04401227
,_i_n_,,[-0.023148148148148147],[-0.275],[1],[0],[0],[0.46379320000414737],['text_3'],198843,1,2023-09-29_11h35.07.198,word fragment _29-9-23,2023.1.3,60.04401227
,t_g_r,tiger,"[0.002777777777777778, 0.012037037037037037]","[-0.22685185185185186, -0.3148148148148148]","[1, 1]","[0, 0]","[0, 0]","[2.6988583999918774, 3.5307352999807335]",['text_3'],198843,1,2023-09-29_11h35.07.198,word fragment _29-9-23,2023.1.3,60.04401227
,c_s_i_n,cushion,[-0.001851851851851852],[-0.2824074074074074],[1],[0],[0],[3.2810300999844912],['text_3'],198843,1,2023-09-29_11h35.07.198,word fragment _29-9-23,2023.1.3,60.04401227
,p_a_o,piano,[-0.009259259259259259],[-0.3111111111111111],[1],[0],[0],[2.5954054000030737],['text_3'],198843,1,2023-09-29_11h35.07.198,word fragment _29-9-23,2023.1.3,60.04401227
,_oo_,book,[-0.044444444444444446],[-0.2972222222222222],[1],[0],[0],[2.6262066999915987],['text_3'],198843,1,2023-09-29_11h35.07.198,word fragment _29-9-23,2023.1.3,60.04401227
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,"Probability hit from Study list					
",8,1.6,,,,,,,,,,
,,,Probability hit from test words,7,1.4,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,priming score ,0.2,,,,,,,,,,,
